,Date,start,end,INP,T,INP_plus,INP_minus
377,2016-10-11 00:00:00,2016-10-11 10:40:00,2016-10-11 14:03:00,0.689325704157,-21.0,1.27214569442,0.29574709321
378,2016-10-11 00:00:00,2016-10-11 14:10:00,2016-10-11 16:24:00,19.8732668081,-21.0,23.3747181317,16.6768011942
379,2016-10-11 00:00:00,2016-10-11 10:40:00,2016-10-11 14:03:00,1.73290571237,-21.0,2.59155867626,1.05978351251
380,2016-10-11 00:00:00,2016-10-11 14:10:00,2016-10-11 16:24:00,1.15062977137,-21.0,2.09731399397,0.490632115946
381,2016-10-13 00:00:00,2016-10-13 10:39:00,2016-10-13 14:42:00,2.52404803553,-21.0,3.60893245595,1.63677678383
382,2016-10-13 00:00:00,2016-10-13 10:41:00,2016-10-13 14:42:00,1.58561118198,-21.0,2.45320964579,0.917265830215
383,2016-10-14 00:00:00,2016-10-14 10:39:00,2016-10-14 12:19:00,6.13224368132,-21.0,8.31788378957,4.28960357307
385,2016-10-17 00:00:00,2016-10-17 11:46:00,2016-10-17 14:49:00,1.55923465711,-21.0,2.54541161699,0.835462068812
386,2016-10-17 00:00:00,2016-10-17 15:10:00,2016-10-17 17:11:00,6.44515939592,-21.0,8.33166230266,4.80669367925
387,2016-10-18 00:00:00,2016-10-18 14:15:00,2016-10-18 16:10:00,2.85463571741,-21.0,4.34427325818,1.69905035056
388,2016-10-18 00:00:00,2016-10-18 10:45:00,2016-10-18 13:52:00,2.2525755681,-21.0,2.80035435636,1.76755895602
389,2016-10-18 00:00:00,2016-10-18 14:00:00,2016-10-18 16:15:00,2.18478615875,-21.0,2.79910184476,1.64935796524
390,2016-10-18 00:00:00,2016-10-18 10:55:00,2016-10-18 14:15:00,0.866101513224,-21.0,1.65367791612,0.352925110327
391,2016-10-18 00:00:00,2016-10-18 10:55:00,2016-10-18 16:10:00,0.712265411424,-21.0,1.17492279842,0.374052468878
395,2016-10-21 00:00:00,2016-10-21 11:42:00,2016-10-21 16:36:00,3.09583130029,-21.0,4.18762567592,2.17596674922
396,2016-10-21 00:00:00,2016-10-21 14:42:00,2016-10-21 16:36:00,8.17098786287,-21.0,10.4882427544,6.14933161707
397,2016-10-21 00:00:00,2016-10-21 14:42:00,2016-10-21 16:36:00,2.01854424445,-21.0,3.36393005327,1.01701808474
398,2016-10-24 00:00:00,2016-10-24 12:05:00,2016-10-24 15:37:00,2.84768519423,-21.0,4.27081021765,1.72657274942
399,2016-10-27 00:00:00,2016-10-27 11:49:00,2016-10-27 15:58:00,4.99872434689,-21.0,6.2936858364,3.85501886178
400,2016-10-27 00:00:00,2016-10-27 11:49:00,2016-10-27 15:58:00,7.92162683585,-21.0,9.41522094836,6.5584111384
401,2016-10-27 00:00:00,2016-10-27 11:49:00,2016-10-27 15:58:00,0.97243722805,-21.0,1.47438135092,0.577632774969
402,2016-10-31 00:00:00,2016-10-31 10:17:00,2016-10-31 17:30:00,0.930175001882,-21.0,1.40805798435,0.55791172688
403,2016-10-31 00:00:00,2016-10-31 10:17:00,2016-10-31 17:30:00,0.58262697968,-21.0,0.879328779053,0.347823241428
405,2016-11-02 00:00:00,2016-11-02 10:29:00,2016-11-02 15:29:00,0.636204975513,-21.0,1.06459002222,0.318210733406
406,2016-09-26 00:00:00,2016-09-26 12:00:00,2016-09-26 15:00:00,0.611233990697,-20.0,1.20563736025,0.22606809392
407,2016-09-26 00:00:00,2016-09-26 12:11:00,2016-09-26 15:12:00,0.391435726115,-20.0,0.636202504347,0.206617850245
408,2016-09-27 00:00:00,2016-09-27 10:57:00,2016-09-27 14:26:00,0.568175150436,-20.0,0.839625155494,0.349641028739
409,2016-09-28 00:00:00,2016-09-28 12:35:00,2016-09-28 15:35:00,0.470312666741,-20.0,1.01524347996,0.162517655987
411,2016-09-30 00:00:00,2016-09-30 11:20:00,2016-09-30 13:55:00,0.835423447447,-20.0,1.18728301809,0.548656103215
412,2016-09-30 00:00:00,2016-09-30 14:21:00,2016-09-30 16:21:00,1.00705006718,-20.0,1.47982549265,0.626436471887
