,T,INPs_perL,F,delta_INP_pos,delta_INP_neg
16,-22.89,3.8840810827,0.372549019608,1.71836524045,1.4045090313
17,-23.22,4.42190209218,0.411764705882,1.8229661761,1.50910996695
18,-23.31,4.70441502282,0.43137254902,1.87536336104,1.56150715189
19,-23.33,4.99684268791,0.450980392157,1.92796740609,1.61411119694
20,-23.54,5.29990638933,0.470588235294,1.98088453399,1.66702832484
21,-23.6,5.61440912252,0.490196078431,2.03422252145,1.7203663123
22,-23.66,5.9412483988,0.509803921569,2.08809236484,1.77423615569
23,-23.77,6.28143168647,0.529411764706,2.14261002127,1.82875381212
24,-23.8,6.63609513996,0.549019607843,2.19789829749,1.88404208834
25,-23.88,7.00652649472,0.56862745098,2.25408896867,1.94023275952
26,-23.9,7.39419329167,0.588235294118,2.311325225,1.99746901585
27,-24.11,7.80077799309,0.607843137255,2.36976456909,2.05590835994
28,-24.18,8.22822211298,0.627450980392,2.42958232395,2.1157261148
29,-24.21,8.67878229023,0.647058823529,2.49097596598,2.17711975683
30,-24.27,9.15510240557,0.666666666667,2.55417057683,2.24031436768
31,-24.29,9.66030758737,0.686274509804,2.61942582786,2.30556961871
32,-24.46,10.1981285969,0.705882352941,2.68704509074,2.37318888159
33,-24.52,10.7730691926,0.725490196078,2.75738754771,2.44353133856
34,-24.58,11.3906356272,0.745098039216,2.83088461797,2.51702840882
35,-24.66,12.0576581911,0.764705882353,2.90806273999,2.59420653084
36,-24.8,12.7827529994,0.78431372549,2.98957577024,2.67571956109
37,-24.87,13.5770044978,0.803921568627,3.07625239738,2.76239618823
38,-24.92,14.4550087949,0.823529411765,3.16916789038,2.85531168123
39,-24.99,15.436534092,0.843137254902,3.26975706632,2.95590085717
40,-25.04,16.5492956972,0.862745098039,3.38000092772,3.06614471857
41,-25.37,17.8338846958,0.882352941176,3.50275399516,3.18889778601
42,-25.65,19.3532310024,0.901960784314,3.64236400765,3.3285077985
43,-25.88,21.2127605967,0.921568627451,3.80597089043,3.49211468128
44,-25.97,26.9889871014,0.960784313725,4.27291187044,3.95905566129
45,-26.14,32.765213606,0.980392156863,4.69202804491,4.37817183575
0,-13.14,0.103700154465,0.0357142857143,0.299222667217,0.103613884782
1,-13.8,0.211314434427,0.0714285714286,0.385328161467,0.189719379032
2,-14.74,0.323149943847,0.107142857143,0.453363013838,0.257754231403
3,-15.83,0.43955141097,0.142857142857,0.512485271697,0.316876489262
4,-15.95,0.560907596938,0.178571428571,0.566245320462,0.370636538027
5,-16.8,0.687659129789,0.214285714286,0.616479945121,0.420871162686
6,-16.85,0.820308162109,0.25,0.664301488848,0.468692706413
7,-17.05,1.10569013689,0.321428571429,0.755501436107,0.559892653672
8,-17.09,1.25985957308,0.357142857143,0.799857946339,0.604249163904
9,-17.14,1.42284335934,0.392857142857,0.843888377261,0.648279594826
10,-17.18,1.59571082958,0.428571428571,0.887912045267,0.692303262832
11,-17.21,1.77973854883,0.464285714286,0.932229331627,0.736620549192
12,-17.29,1.97646758072,0.5,0.977138704193,0.781529921758
13,-17.32,2.18778201515,0.535714285714,1.02295235367,0.827343571237
14,-17.34,2.41601899169,0.571428571429,1.07001273649,0.874403954052
15,-17.39,2.66412671051,0.607142857143,1.11871240088,0.923103618445
16,-17.42,2.93589796744,0.642857142857,1.16952023673,0.973911454298
17,-17.46,3.57217841031,0.714285714286,1.2799629842,1.08435420177
18,-17.67,4.39248657242,0.785714285714,1.40868878756,1.21308000513
19,-17.72,4.91236554816,0.821428571429,1.48409573416,1.28848695172
20,-17.76,5.54864599103,0.857142857143,1.57114337901,1.37553459657
21,-17.79,6.36895415314,0.892857142857,1.6762994766,1.48069069416
22,-18.33,7.52511357176,0.928571428571,1.81360059325,1.61799181082
23,-18.88,9.50158115248,0.964285714286,2.02580476489,1.83019598246
0,-19.4,0.210981733202,0.025,0.611003902064,0.210837235398
1,-20.27,0.427444119896,0.05,0.784974585867,0.3848079192
2,-20.48,0.649679512248,0.075,0.921165970509,0.520999303842
3,-20.82,0.878004297149,0.1,1.03835304281,0.638186376138
4,-20.95,1.1127616052,0.125,1.14378890431,0.743622237647
5,-21.36,1.35432441248,0.15,1.24119378447,0.841027117799
6,-21.6,1.6030991054,0.175,1.33278525824,0.932618591572
7,-21.86,1.85952959429,0.2,1.42001919994,1.01985253327
8,-22.08,2.12410208024,0.225,1.50391986382,1.10375319715
9,-22.29,2.39735060376,0.25,1.58524743909,1.18508077242
10,-22.32,2.6798635344,0.275,1.66459148127,1.2644248146
11,-22.35,2.97229119949,0.3,1.74242691481,1.34226024814
12,-22.59,3.27535490091,0.325,1.8191496401,1.41898297343
13,-22.75,3.5898576341,0.35,1.89510036171,1.49493369505
14,-22.78,3.91669691038,0.375,1.97058131242,1.57041464575
15,-22.82,4.25688019805,0.4,2.04586856421,1.64570189754
16,-23.01,4.61154365154,0.425,2.12122156429,1.72105489762
17,-23.33,4.9819750063,0.45,2.19689095135,1.79672428468
