,Date,start,end,INP,T,,,,,,,,,,,,,,
265,1.61024E+13,1205,1537,1.59207379,-20,,,,,16102711491558.00,1149,1558,3.607712164,-20,3.607712164,16102711491558.00,,,
266,1.61027E+13,1149,1558,3.607712164,-20,,,,,16103110171730.00,1017,1730,0.33981903,-20,0.33981903,16103110171730.00,,,
267,1.61031E+13,1017,1730,0.33981903,-20,,,,,16110111101410.00,1110,1410,0.194384417,-20,0.194384417,16110111101410.00,,,
268,1.61101E+13,1110,1410,0.194384417,-20,,,,,16110210291529.00,1029,1529,0.183828728,-20,0.183828728,16110210291529.00,,,
269,1.61102E+13,1029,1529,0.183828728,-20,,,,,,,,,,,,,,
270,1.60926E+13,1200,1500,0.493593145,-19,,,,,,,,,,,,,,
271,1.60926E+13,1211,1512,0.322502578,-19,,,,,,,,,,,,,,
272,1.60926E+13,1152,1452,1.459958872,-19,,,,,,,,,,,,,,
273,1.60927E+13,1057,1426,0.501649646,-19,,,,,,,,,,,,,,
274,1.60928E+13,1235,1535,0.395937508,-19,,,,,,,,,,,,,,
275,1.60928E+13,1334,1540,,-19,,,,,,,,,,,,,,
276,1.6093E+13,1421,1621,0.48875,-19,,,,,,,,,,,,,,
277,1.6093E+13,1120,1355,0.317892334,-19,,,,,,,,,,,,,,
278,1.61003E+13,1335,1636,1.014221167,-19,,,,,,,,,,,,,,
279,1.61003E+13,1026,1327,,-19,,,,,,,,,,,,,,
280,1.61003E+13,1347,1623,,-19,,,,,,,,,,,,,,
281,1.61003E+13,1032,1335,0.451917505,-19,,,,,,,,,,,,,,
282,1.61004E+13,1033,1320,1.788501425,-19,,,,,,,,,,,,,,
283,1.61005E+13,1116,1559,3.38277515,-19,,,,,,,,,,,,,,
284,1.61005E+13,1339,1439,8.912756781,-19,,,,,,,,,,,,,,
285,1.61006E+13,1424,1654,0.417328039,-19,,,,,,,,,,,,,,
286,1.61006E+13,1140,1410,0.128113352,-19,,,,,,,,,,,,,,
287,1.61006E+13,1424,1654,0.576824806,-19,,,,,,,,,,,,,,
288,1.61006E+13,1139,1413,0.607235684,-19,,,,,,,,,,,,,,
289,1.61006E+13,1420,1658,2.096330055,-19,,,,,,,,,,,,,,
290,1.61007E+13,1302,1502,0.778820834,-19,,,,,,,,,,,,,,
291,1.61007E+13,1121,1306,,-19,,,,,,,,,,,,,,
292,1.61007E+13,1041,1241,1.314306354,-19,,,,,,,,,,,,,,
293,1.6101E+13,1239,1339,1.322582319,-19,,,,,,,,,,,,,,
294,1.6101E+13,1350,1636,0.255486642,-19,,,,,,,,,,,,,,
295,1.6101E+13,1129,1636,0.431939581,-19,,,,,,,,,,,,,,
296,1.61011E+13,1040,1403,0.484754086,-19,,,,,,,,,,,,,,
297,1.61011E+13,1040,1403,0.382943086,-19,,,,,,,,,,,,,,
298,1.61011E+13,1410,1624,13.77109361,-19,,,,,,,,,,,,,,
299,1.61011E+13,1410,1624,0.973565267,-19,,,,,,,,,,,,,,
300,1.61013E+13,1039,1442,0.849780199,-19,,,,,,,,,,,,,,
301,1.61013E+13,1041,1442,0.437180563,-19,,,,,,,,,,,,,,
302,1.61017E+13,1146,1449,0.682313828,-19,,,,,,,,,,,,,,
303,1.61018E+13,1415,1610,2.167819811,-19,,,,,,,,,,,,,,
304,1.61018E+13,1045,1352,1.821853593,-19,,,,,,,,,,,,,,
305,1.61018E+13,1400,1615,0.721717455,-19,,,,,,,,,,,,,,
306,1.6102E+13,1145,1335,,-19,,,,,,,,,,,,,,
307,1.6102E+13,1345,1600,,-19,,,,,,,,,,,,,,
308,1.61021E+13,1442,1636,6.647207839,-19,,,,,,,,,,,,,,
309,1.61021E+13,1142,1636,2.389122211,-19,,,,,,,,,,,,,,
310,1.61024E+13,1205,1537,0.421932412,-19,,,,,,,,,,,,,,
311,1.61027E+13,1149,1558,3.154581367,-19,,,,,,,,,,,,,,
312,1.61031E+13,1017,1730,0.135694421,-19,,,,,,,,,,,,,,
313,1.61101E+13,1110,1410,,-19,,,,,,,,,,,,,,
314,1.61102E+13,1029,1529,0.100829942,-19,,,,,,,,,,,,,,
315,1.60926E+13,1200,1500,0.296182321,-18,,,,,,,,,,,,,,
316,1.60926E+13,1211,1512,0.209064824,-18,,,,,,,,,,,,,,
317,1.60926E+13,1152,1452,0.889598706,-18,,,,,,,,,,,,,,
318,1.60927E+13,1057,1426,0.457684494,-18,,,,,,,,,,,,,,
319,1.60928E+13,1235,1535,0.238858737,-18,,,,,,,,,,,,,,
320,1.60928E+13,1334,1540,,-18,,,,,,,,,,,,,,
321,1.6093E+13,1421,1621,0.375375,-18,,,,,,,,,,,,,,
322,1.6093E+13,1120,1355,0.14054347,-18,,,,,,,,,,,,,,
323,1.61003E+13,1335,1636,0.56175531,-18,,,,,,,,,,,,,,
324,1.61003E+13,1026,1327,,-18,,,,,,,,,,,,,,
325,1.61003E+13,1347,1623,,-18,,,,,,,,,,,,,,
326,1.61003E+13,1032,1335,0.288789188,-18,,,,,,,,,,,,,,
327,1.61004E+13,1033,1320,1.342671819,-18,,,,,,,,,,,,,,
328,1.61005E+13,1116,1559,0.989567489,-18,,,,,,,,,,,,,,
329,1.61005E+13,1339,1439,4.374318864,-18,,,,,,,,,,,,,,
330,1.61006E+13,1424,1654,0.331136248,-18,,,,,,,,,,,,,,
331,1.61006E+13,1140,1410,0.09485282,-18,,,,,,,,,,,,,,
332,1.61006E+13,1424,1654,,-18,,,,,,,,,,,,,,
333,1.61006E+13,1139,1413,0.149147215,-18,,,,,,,,,,,,,,
334,1.61006E+13,1420,1658,1.038995499,-18,,,,,,,,,,,,,,
