OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C) or Pressure(Pa),PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
42643.52965,3.023,4.031,5.039,2.015,0,0,0,0,0,0,0,0,0,0,0,0,6.67,11,0,0,14.108,0.992,3.19,x,1.23,2.26,2.3,1,3.4,6.99
42643.52967,6.046,5.038,5.038,1.008,0,2.015,0,0,0,0,0,0,0,0,0,0,6.67,8.33,8,0,19.144,0.992,3.23,x,1.42,4.41,5.12,1,3.4,6.99
42643.52968,8.061,2.015,1.008,2.015,2.015,1.008,0,0,0,0,1.008,0,0,0,0,0,7.67,8,13,0,17.13,0.992,3.23,x,1.13,4.48,71.24,1,3.41,7.23
42643.52969,7.053,4.03,3.023,2.015,0,0,0,0,0,0,0,0,0,0,0,0,10.33,9.33,0,0,16.122,0.992,3.16,x,1.11,1.99,2.02,1,3.4,7.21
42643.5297,7.054,5.038,2.015,2.015,1.008,0,0,0,0,0,0,0,0,0,0,0,7,8.33,0,0,17.13,0.992,3.18,x,1.19,2.59,2.7,1,3.39,7.2
42643.52971,3.023,2.016,3.023,0,1.008,1.008,0,0,0,0,0,0,0,0,0,0,7.67,0,8.33,0,10.078,0.992,3.18,x,0.82,2.83,3.26,1,3.4,7.2
42643.52973,7.053,0,1.008,1.008,2.015,1.008,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,12.091,0.992,3.18,x,0.84,3.55,4.07,1,3.4,7.2
42643.52974,4.031,2.015,0,0,2.015,2.015,1.008,0,0,0,0,0,0,0,0,0,7,0,8.67,0,11.084,0.992,3.19,x,0.78,6.22,9.2,1,3.41,7.23
42643.52975,4.03,1.007,1.007,0,1.007,0,0,0,0,0,0,0,0,0,0,0,6.33,0,0,0,7.052,0.993,3.2,x,0.43,1.12,1.2,1,3.41,7.22
42643.52976,7.055,4.031,4.031,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15.117,0.992,3.19,x,0.92,1.3,1.3,0.99,3.4,7.21
42643.52977,8.062,4.031,1.008,0,1.008,0,0,0,0,0,0,0,0,0,0,0,6.33,0,0,0,14.108,0.992,3.23,x,0.72,1.45,1.52,0.99,3.4,7.21
42643.52978,5.039,2.016,1.008,0,1.008,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,9.07,0.992,3.24,x,0.51,1.21,1.29,0.99,3.37,7.17
42643.5298,2.015,2.015,2.015,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,0,0,0,6.045,0.993,3.21,x,0.42,0.61,0.61,0.99,3.36,7.15
42643.52981,4.031,2.015,2.015,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,8.061,0.992,3.21,x,0.47,0.66,0.66,0.99,3.35,6.95
42643.52982,9.068,5.038,2.015,0,0,0,0,0,0,0,1.008,0,0,0,0,0,9.33,0,0,0,17.129,0.992,3.16,x,0.8,1.41,69.01,0.99,3.34,7.16
42643.52983,9.069,4.031,3.023,2.015,0,0,2.015,0,0,0,0,0,0,0,0,0,8.33,7.67,0,0,20.154,0.992,3.15,x,1.25,6.12,10.46,0.99,3.34,7.12
42643.52984,7.055,3.023,2.016,2.016,2.016,0,0,0,0,0,0,0,0,0,0,0,7.67,8.67,0,0,16.125,0.992,3.15,x,1.21,3.22,3.41,0.99,3.33,7.07
42643.52985,7.052,4.03,4.03,3.022,0,0,0,0,0,0,0,0,0,0,0,0,10,8.67,0,0,18.134,0.993,3.1,x,1.4,2.68,2.73,0.99,3.33,7.06
42643.52987,1.008,2.015,1.008,1.008,0,0,0,1.008,0,0,0,0,0,0,0,0,7.67,10.33,0,13.67,6.046,0.992,3.1,x,0.45,3.06,11.7,0.99,3.32,7.08
42643.52988,4.031,4.031,4.031,1.008,0,0,0,0,0,0,0,0,0,0,0,0,6,9.67,0,0,13.101,0.992,3.15,x,1,1.68,1.7,0.99,3.32,7.07
42643.52989,5.041,3.025,3.025,3.025,2.016,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,16.132,0.992,3.16,x,1.42,3.79,4,0.99,3.32,7.07
42643.5299,6.047,3.024,4.032,3.024,2.016,0,1.008,0,0,0,0,0,0,0,0,0,6.67,9,0,0,19.15,0.992,3.19,x,1.6,6.01,8.34,0.99,3.33,7.09
42643.52991,5.039,6.046,4.031,2.015,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,7.33,8.33,8.33,0,20.154,0.992,3.2,x,1.58,6.24,8.81,0.99,3.34,7.09
42643.52992,4.03,3.023,3.023,3.023,0,0,0,0,0,0,0,0,0,0,0,0,9.33,10,0,0,13.099,0.992,3.17,x,1.11,2.26,2.31,0.99,3.33,7.09
42643.52994,4.029,1.007,3.022,2.014,2.014,0,1.007,0,0,0,0,0,0,0,0,0,7,9.33,0,0,13.094,0.993,3.18,x,1.16,5.18,7.5,0.99,3.34,7.09
42643.52995,1.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.008,0.992,3.18,x,0.03,0.03,0.03,0.99,3.33,7.09
42643.52996,2.015,1.008,7.053,1.008,0,0,0,0,0,0,0,0,0,0,0,0,5,7.67,0,0,11.083,0.992,3.19,x,1.1,1.98,2,0.99,3.31,6.92
42643.52997,7.054,2.016,5.039,0,1.008,2.016,1.008,0,0,0,0,0,0,0,0,0,6.33,0,9.67,0,18.14,0.992,3.21,x,1.3,6.53,9.41,0.99,3.32,6.93
42643.52998,2.015,5.038,0,1.008,1.008,1.008,0,0,0,0,1.008,0,0,0,0,0,7.67,12.33,8.33,0,11.085,0.992,3.21,x,0.77,3.2,70.13,0.99,3.33,7.16
42643.53,6.046,3.023,5.038,0,0,1.008,0,0,0,0,0,0,0,0,0,0,10,0,15,0,15.115,0.992,3.17,x,1.06,2.65,3.01,0.99,3.32,7.15
42643.53001,2.015,2.015,0,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,0,4.67,6.33,10.33,0,7.054,0.992,3.21,x,0.58,2.61,3.05,0.99,3.31,7.14
42643.53002,2.015,3.023,1.008,0,1.008,0,1.008,0,0,0,0,0,0,0,0,0,14.67,0,0,0,8.061,0.992,3.08,x,0.57,3.36,5.64,0.99,3.32,7.15
42643.53003,4.031,2.015,2.015,2.015,1.008,0,0,1.008,0,0,0,0,0,0,0,0,7.33,9,0,19,12.092,0.992,3.08,x,0.95,4.58,13.37,0.99,3.32,7.18
42643.53004,7.053,0,1.008,1.008,0,2.015,0,0,0,0,0,0,0,0,0,0,0,9.67,9.33,0,11.083,0.993,3.08,x,0.68,3.4,4.14,0.98,3.31,7.17
42643.53005,4.03,4.03,2.015,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67,0,0,0,10.076,0.992,3.09,x,0.62,0.84,0.85,0.98,3.31,7.16
42643.53007,5.039,1.008,1.008,0,0,0,0,1.008,0,1.008,0,0,0,0,0,0,5,0,0,9.67,9.07,0.992,3.11,x,0.33,3.54,52.75,0.98,3.32,7.34
42643.53008,5.039,1.008,3.023,1.008,0,1.008,1.008,0,0,0,0,0,0,0,0,0,6.33,9,11.67,0,12.093,0.992,3.12,x,0.87,4.59,7.14,0.98,3.31,7.32
42643.53009,7.055,2.016,2.016,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,0,10.67,10.33,0,0,14.109,0.992,3.09,x,0.91,4.06,6.35,0.98,3.31,7.33
42643.5301,5.038,2.015,1.008,4.031,0,1.008,0,0,0,0,0,0,0,0,0,0,6.33,9.33,10.33,0,13.099,0.992,3.11,x,1.11,3.55,3.97,0.98,3.3,7.32
42643.53011,9.07,2.016,2.016,3.023,0,1.008,0,0,0,0,0,0,0,0,0,0,7.67,10.67,10.33,0,17.133,0.992,3.11,x,1.18,3.42,3.83,0.98,3.3,7.28
42643.53012,11.083,3.023,2.015,2.015,0,1.008,0,0,0,0,0,0,0,0,0,0,10,7.67,15,0,19.144,0.992,3.07,x,1.16,3.14,3.54,0.98,3.29,7.25
42643.53014,4.03,0,3.023,1.008,0,2.015,0,0,0,0,0,0,0,0,0,0,0,8.33,11.67,0,10.075,0.993,3.07,x,0.86,3.75,4.5,0.98,3.3,7.26
42643.53015,4.031,4.031,6.046,1.008,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,6,8.33,13,13.67,18.138,0.992,3.12,x,1.52,6.33,15.36,0.98,3.3,7.29
42643.53016,7.054,1.008,5.039,1.008,2.016,1.008,0,0,0,0,0,0,0,0,0,0,7,9.67,9,0,17.132,0.992,3.13,x,1.41,4.52,5.06,0.98,3.31,7.27
42643.53017,2.015,6.046,3.023,1.008,0,2.015,1.008,0,0,0,0,0,0,0,0,0,6.67,10.33,11,0,15.115,0.992,3.17,x,1.22,6.07,8.92,0.99,3.32,7.29
42643.53018,1.008,7.054,4.031,1.008,0,1.008,2.015,0,0,0,0,0,0,0,0,0,8,6.33,9.67,0,16.123,0.992,3.16,x,1.32,7.12,11.78,0.98,3.32,7.28
42643.53019,9.069,4.031,2.015,2.015,2.015,0,0,0,0,0,0,0,0,0,0,0,6.67,7.67,0,0,19.145,0.992,3.19,x,1.31,3.3,3.49,0.99,3.33,7.28
42643.53021,5.038,5.038,5.038,2.015,2.015,0,0,0,0,0,0,0,0,0,0,0,10,9.33,0,0,19.145,0.992,3.12,x,1.67,3.97,4.17,0.99,3.33,7.28
42643.53022,3.023,0,0,0,0,0,1.008,0,0,0,0,0,0,0,0,0,0,0,0,0,4.031,0.992,3.12,x,0.12,2.13,4.3,0.98,3.32,7.28
42643.53023,4.031,4.031,0,1.008,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,8.33,9.67,10.33,0,12.093,0.992,3.11,x,0.83,4.96,7.59,0.98,3.3,7.25
42643.53024,5.038,1.008,2.015,3.023,0,0,0,0,0,0,0,0,0,0,0,0,9,10.67,0,0,11.084,0.992,3.1,x,0.9,1.97,2.02,0.98,3.29,7.24
42643.53025,6.046,2.015,4.031,2.015,1.008,0,0,0,0,0,0,0,0,0,0,0,13,11.33,0,0,15.116,0.992,3.04,x,1.26,2.87,2.99,0.98,3.28,6.81
42643.53027,3.023,2.015,2.015,3.023,0,1.008,0,0,0,0,0,0,0,0,0,0,8,11.33,19.67,0,11.084,0.992,3.04,x,1.05,3.33,3.75,0.98,3.27,6.77
42643.53028,4.03,1.008,0,1.008,2.015,0,0,0,0,0,0,0,0,0,0,0,7.67,9.67,0,0,8.06,0.993,3.05,x,0.63,2.21,2.38,0.98,3.27,6.77
42643.53029,5.038,2.015,4.031,1.008,0,1.008,0,0,0,0,0,0,0,0,0,0,7.33,14.33,7.67,0,13.1,0.992,3.05,x,1.04,2.89,3.27,0.98,3.26,6.77
42643.5303,6.046,5.038,2.015,2.015,1.008,2.015,0,0,0,0,0,0,0,0,0,0,8.67,7.67,10,0,18.139,0.992,3.04,x,1.44,5.28,6.13,0.98,3.27,6.78
42643.53031,6.047,3.023,4.031,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,13.101,0.992,3.04,x,0.87,1.26,1.26,0.98,3.27,6.77
42643.53032,5.036,7.051,3.022,0,0,1.007,0,1.007,0,0,0,0,0,0,0,0,8.33,0,12.33,10.33,17.123,0.993,3.03,x,1.12,4.91,14.1,0.98,3.28,6.81
42643.53034,15.113,3.023,2.015,4.03,0,0,1.008,0,0,0,0,0,0,0,0,1.008,6,10.33,0,0,26.197,0.992,3.07,x,1.51,4.96,99.77,0.98,3.28,7.12
42643.53035,8.062,2.016,5.039,0,0,1.008,0,0,0,0,0,0,0,0,0,0,6.33,0,8.33,0,16.125,0.992,3.09,x,1.07,2.69,3.06,0.98,3.28,7.12
42643.53036,6.046,4.031,2.015,2.015,1.008,2.015,0,0,1.008,0,1.008,0,0,0,0,0,6.67,8,13.33,0,19.147,0.992,3.12,x,1.34,7.09,96.53,0.98,3.28,7.4
42643.53037,4.031,3.023,1.008,2.015,0,1.008,0,0,1.008,0,0,0,0,0,0,0,7.33,9.67,10.33,0,12.092,0.992,3.13,x,0.84,4.33,24.85,0.98,3.29,7.48
42643.53038,4.031,1.008,5.039,4.031,0,0,1.008,1.008,0,0,0,0,0,0,0,0,8.33,8,0,9.67,16.124,0.992,3.13,x,1.44,7.23,18.01,0.98,3.31,7.54
42643.53039,6.046,2.015,4.031,2.015,1.008,0,2.015,0,0,0,0,0,0,0,0,0,9.33,10.33,0,0,17.13,0.992,3.11,x,1.32,6.92,11.39,0.98,3.33,7.57
42643.53041,4.031,1.008,7.054,3.023,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,6.33,10.33,7.67,13,18.139,0.992,3.12,x,1.75,7.19,16.25,0.99,3.34,7.6
42643.53042,4.031,1.008,4.031,3.023,1.008,0,0,0,0,0,0,0,0,0,0,0,7.67,8.67,0,0,13.101,0.992,3.12,x,1.26,3.1,3.23,0.99,3.33,7.59
42643.53043,15.113,3.023,3.023,0,0,2.015,1.008,0,0,0,0,0,0,0,0,0,7.33,0,9,0,24.181,0.993,3.13,x,1.22,5.81,8.69,0.99,3.34,7.61
42643.53044,2.015,4.031,3.023,0,2.015,2.015,1.008,0,0,0,0,0,0,0,0,0,9.67,0,14,0,14.107,0.992,3.09,x,1.25,7.16,10.24,0.99,3.34,7.53
42643.53045,5.038,2.015,3.023,2.015,0,2.015,0,0,0,0,0,0,0,0,0,0,18.33,10.67,9.33,0,14.107,0.992,3.09,x,1.17,4.37,5.13,0.99,3.35,7.54
42643.53046,0,3.023,1.008,2.016,0,0,0,0,0,0,0,0,0,0,0,0,10,9.33,0,0,6.047,0.992,3.05,x,0.64,1.36,1.39,0.99,3.35,7.54
42643.53048,7.054,3.023,2.015,2.015,0,0,0,0,0,0,0,0,0,0,0,0,8,9.67,0,0,14.107,0.992,3.06,x,0.95,1.76,1.8,0.99,3.35,7.53
42643.53049,7.054,1.008,9.07,3.023,1.008,1.008,0,0,0,0,0,0,0,0,0,0,7,9.33,9.67,0,22.171,0.992,3.06,x,2.1,5.59,6.09,0.99,3.36,7.55
42643.5305,7.054,0,0,2.015,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9.069,0.992,3.06,x,0.5,1.1,1.13,0.99,3.35,7.53
42643.53051,10.077,6.046,1.008,0,0,0,1.008,0,0,0,0,0,0,0,0,0,8.67,0,0,0,18.139,0.992,3.04,x,0.85,3.08,5.31,0.99,3.35,7.54
42643.53052,4.031,1.008,4.031,5.038,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,6.33,9,9.67,0,17.13,0.992,3.05,x,1.76,7.47,10.22,0.99,3.37,7.57
42643.53054,7.054,1.008,2.015,1.008,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,7.67,7,10.33,11,14.108,0.992,3.05,x,0.93,5.47,14.69,1,3.37,7.57
42643.53055,5.038,3.023,3.023,2.015,0,1.008,0,0,0,0,0,0,0,0,0,0,7.67,9,9,0,14.106,0.992,3.06,x,1.13,3.2,3.6,1,3.38,7.58
42643.53056,3.022,1.007,2.015,1.007,0,0,0,1.007,0,0,0,0,0,0,0,0,7.67,13.67,0,17.67,8.059,0.993,3.06,x,0.56,3.28,12.02,1,3.38,7.61
42643.53057,4.031,6.046,4.031,1.008,2.015,0,0,0,0,0,0,0,0,0,0,0,7.67,7.67,0,0,17.13,0.992,3.08,x,1.45,3.42,3.6,1,3.39,7.62
42643.53058,4.03,3.023,1.008,1.008,0,1.008,0,1.008,0,0,0,0,0,0,0,0,7.33,9.67,9,13,11.083,0.992,3.09,x,0.71,4.5,13.54,1,3.38,7.64
42643.53059,9.069,2.015,2.015,1.008,1.008,0,0,0,0,0,0,0,0,0,0,0,7.67,7.67,0,0,15.115,0.992,3.09,x,0.92,2.03,2.13,1,3.38,7.63
42643.53061,6.045,4.03,1.007,0,0,1.007,0,0,0,0,0,0,0,0,0,0,6.33,0,10.33,0,12.089,0.993,3.13,x,0.65,1.94,2.29,0.99,3.37,7.62
42643.53062,5.038,4.03,1.008,3.023,1.008,0,0,0,0,0,0,0,0,0,0,0,8,9.33,0,0,14.105,0.993,3.13,x,1.12,2.74,2.87,0.99,3.37,7.63
42643.53063,10.082,2.016,6.049,3.025,0,0,0,2.016,0,0,0,0,0,0,0,0,6.67,10,0,17,23.188,0.992,3.15,x,1.59,7.34,24.41,0.99,3.38,7.63
42643.53064,4.031,3.023,1.008,1.008,0,0,0,0,1.008,0,0,0,0,0,0,0,7.67,9.67,0,0,10.078,0.992,3.15,x,0.58,2.62,22.67,0.99,3.38,7.7
42643.53065,2.015,2.015,3.023,2.015,0,1.008,0,0,0,0,0,0,0,0,0,0,8.67,10.67,8.33,0,10.077,0.992,3.14,x,0.96,2.96,3.36,0.99,3.38,7.68
42643.53066,6.046,0,4.031,0,1.008,1.008,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12.093,0.992,3.14,x,0.9,2.99,3.43,0.99,3.37,7.67
42643.53068,8.062,2.015,4.031,1.008,1.008,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,16.123,0.992,3.16,x,1.11,2.37,2.47,0.99,3.37,7.67
42643.53069,8.061,3.023,2.015,0,0,0,1.008,0,0,0,0,0,0,0,0,0,8.33,0,0,0,14.107,0.992,3.15,x,0.69,2.89,5.04,0.99,3.37,7.67
42643.5307,11.085,4.031,3.023,2.015,3.023,1.008,0,0,0,0,0,0,0,0,0,0,6.67,8.33,12.33,0,24.185,0.992,3.18,x,1.74,5.55,6.17,0.99,3.37,7.68
42643.53071,6.046,5.038,4.031,2.015,0,0,1.008,0,0,0,0,0,0,0,0,0,7.67,12.67,0,0,18.137,0.992,3.18,x,1.3,4.23,6.4,0.99,3.38,7.69
42643.53072,5.038,3.023,2.015,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10.077,0.992,3.16,x,0.57,0.77,0.78,0.99,3.38,7.69
42643.53073,3.023,2.016,4.031,2.016,0,1.008,0,0,0,0,0,0,0,0,0,0,8.67,10,11,0,12.093,0.992,3.15,x,1.1,3.19,3.58,1,3.39,7.7
42643.53075,3.023,3.023,5.038,1.008,0,1.008,0,0,0,0,0,0,0,0,0,0,11.33,10.33,10.33,0,13.1,0.992,3.08,x,1.16,3.09,3.48,0.99,3.39,7.7
42643.53076,2.015,3.023,2.015,1.008,0,1.008,0,0,0,0,0,0,0,0,0,0,11,9,10.33,0,9.069,0.992,3.03,x,0.78,2.48,2.87,0.99,3.38,7.7
42643.53077,4.031,4.031,6.046,3.023,0,1.008,0,0,0,0,0,0,0,0,0,0,6.33,11,10.33,0,18.139,0.992,3.07,x,1.69,4.32,4.74,0.99,3.38,7.69
42643.53078,8.062,3.023,2.015,3.023,0,0,0,0,0,0,0,0,0,0,0,0,9.67,8.67,0,0,16.123,0.992,3.04,x,1.14,2.25,2.3,0.99,3.38,7.69
42643.53079,4.031,3.023,2.015,3.023,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,12.092,0.992,3.08,x,1.02,2.11,2.17,0.99,3.37,7.65
42643.5308,7.054,3.023,6.046,1.008,0,1.008,0,0,0,0,0,0,0,0,0,0,7.67,9,8.33,0,18.138,0.992,3.09,x,1.39,3.41,3.79,0.99,3.36,7.62
42643.53082,8.062,2.015,4.031,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,0,0,0,14.108,0.992,3.07,x,0.84,1.22,1.23,0.99,3.35,7.61
42643.53083,5.038,5.038,2.015,2.015,0,0,0,0,0,0,0,0,0,0,0,0,7.33,9.33,0,0,14.106,0.992,3.09,x,1.02,1.85,1.88,0.99,3.35,7.6
42643.53084,8.061,2.015,1.008,2.015,0,1.008,0,0,0,0,0,0,0,0,0,0,6.67,9,9.67,0,14.107,0.992,3.1,x,0.88,2.74,3.14,0.99,3.35,7.61
42643.53085,6.046,1.008,3.023,1.008,0,0,1.008,0,0,0,0,0,0,0,0,0,7,8.33,0,0,12.092,0.992,3.11,x,0.79,3.37,5.56,0.99,3.34,7.58
42643.53086,4.033,1.008,5.041,1.008,0,0,0,0,0,0,0,0,0,0,0,0,8.33,10.33,0,0,11.09,0.992,3.11,x,0.94,1.67,1.69,0.99,3.33,7.56
42643.53088,6.044,3.022,3.022,1.007,0,1.007,1.007,0,0,0,0,0,0,0,0,0,6.33,9.67,8.33,0,15.109,0.993,3.14,x,1.02,4.75,7.28,0.99,3.33,7.57
42643.53089,9.069,4.031,2.015,3.023,3.023,1.008,1.008,0,0,0,0,0,0,0,0,0,6.67,8,7.67,0,23.176,0.992,3.17,x,1.77,7.78,10.55,0.99,3.34,7.51
42643.5309,1.693,3.386,2.54,0.847,1.693,0,0,0,0,0,0,0,0,0,0,0,8,8.33,0,0,10.158,1.181,3.16,x,0.93,2.45,2.6,0.99,3.33,7.51
42643.53091,4.029,3.022,1.007,1.007,3.022,0,0,0,0,0,0,0,0,0,0,0,9.33,10.33,0,0,12.088,0.993,3.13,x,1.01,3.26,3.52,0.98,3.33,7.49
42643.53092,4.031,0,1.008,0,0,1.008,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,6.047,0.992,3.13,x,0.34,1.57,1.93,0.98,3.32,7.48
42643.53094,1.008,2.016,2.016,1.008,0,0,0,0,0,0,0,0,0,0,0,0,7.33,7.67,0,0,6.047,0.992,3.14,x,0.55,1.03,1.05,0.98,3.31,7.47
42643.53095,3.024,1.008,3.024,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67,0,0,0,7.055,0.992,3.14,x,0.51,0.77,0.78,0.98,3.3,7.46
42643.53096,6.047,3.024,4.032,1.008,1.008,0,0,0,0,0,0,0,0,0,0,0,7.33,8.33,0,0,15.119,0.992,3.15,x,1.13,2.41,2.5,0.98,3.3,7.46
42643.53097,6.047,7.054,3.023,0,0,0,0,1.008,0,1.008,0,0,0,0,0,0,8,0,0,11,18.14,0.992,3.14,x,0.99,4.4,53.12,0.98,3.3,7.62
42643.53098,7.054,2.016,7.054,1.008,1.008,0,0,0,0,0,0,0,0,0,0,0,5.67,7,0,0,18.14,0.992,3.17,x,1.44,2.95,3.05,0.98,3.31,7.62
42643.53099,4.031,1.008,2.015,1.008,0,3.023,1.008,0,0,0,0,0,0,0,0,0,7,8.33,8.67,0,12.092,0.992,3.18,x,0.93,6.76,9.96,0.98,3.32,7.65
42643.53101,3.024,4.031,6.047,0,0,0,2.016,0,0,0,0,0,0,0,0,0,6.33,0,0,0,15.118,0.992,3.21,x,1.13,5.58,9.8,0.98,3.32,7.53
42643.53102,8.062,4.031,2.015,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,0,8,9.67,0,0,17.131,0.992,3.21,x,1.03,4.09,6.3,0.98,3.31,7.45
42643.53103,6.048,3.024,2.016,3.024,1.008,2.016,0,0,0,0,0,0,0,0,0,0,6.67,9,10,0,17.135,0.992,3.23,x,1.38,5.25,6.07,0.98,3.33,7.16
42643.53104,1.008,4.031,1.008,2.016,1.008,0,0,1.008,0,0,0,0,0,0,0,0,7,8.67,0,11.67,10.078,0.992,3.24,x,0.84,4.23,12.59,0.98,3.32,7.13
42643.53105,4.031,3.023,1.008,2.016,0,1.008,0,0,0,0,0,0,0,0,0,0,8.67,7.33,14.33,0,11.086,0.992,3.22,x,0.81,2.62,2.99,0.98,3.32,7.13
42643.53107,2.016,2.016,1.008,3.023,1.008,0,0,0,0,0,0,0,0,0,0,0,7.67,8,0,0,9.07,0.992,3.22,x,0.88,2.43,2.56,0.98,3.31,7.11
42643.53108,2.016,4.031,2.016,1.008,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,0,9.07,0.992,3.16,x,0.71,1.21,1.23,0.98,3.31,7.11
42643.53109,7.054,3.023,7.054,4.031,0,0,0,0,0,0,0,0,0,0,0,0,7.67,9,0,0,21.163,0.992,3.16,x,1.82,3.6,3.67,0.98,3.31,7.12
42643.5311,3.024,2.016,4.031,1.008,1.008,2.016,0,0,0,0,0,0,0,0,0,0,6.67,7.67,10.67,0,13.102,0.992,3.18,x,1.2,4.71,5.51,0.98,3.32,7.13
42643.53111,5.037,1.007,1.007,3.022,2.015,1.007,0,1.007,0,0,0,0,0,0,0,0,6.33,8.67,9,9.67,14.103,0.993,3.19,x,1.16,6.59,15.53,0.98,3.33,7.17
42643.53112,6.046,2.015,3.023,1.008,0,0,0,0,0,0,0,0,0,0,0,0,7.33,7.67,0,0,12.092,0.992,3.19,x,0.79,1.35,1.37,0.98,3.33,7.16
42643.53114,2.016,2.016,2.016,2.016,0,0,1.008,0,0,0,0,0,0,0,0,0,6.67,15.67,0,0,9.07,0.992,3.21,x,0.76,3.47,5.61,0.98,3.32,7.16
42643.53115,5.037,0,3.022,1.007,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67,0,0,9.066,0.993,3.21,x,0.63,1.16,1.18,0.98,3.31,7.15
42643.53116,5.039,2.016,1.008,0,1.008,0,0,0,0,0,0,0,0,0,0,0,7.67,0,0,0,9.07,0.992,3.21,x,0.52,1.22,1.3,0.97,3.3,7.13
42643.53117,2.015,5.038,2.015,2.015,0,1.008,0,0,0,0,0,0,0,0,0,0,7,9,8.33,0,12.092,0.992,3.23,x,1.01,2.91,3.29,0.98,3.31,7.14
42643.53118,6.047,1.008,6.047,0,0,0,0,0,0,0,0,0,0,0,0,0,10.33,0,0,0,13.102,0.992,3.21,x,0.93,1.44,1.45,0.98,3.31,7.14
42643.53119,0,2.015,4.031,0,2.015,1.008,1.008,0,0,0,0,0,0,0,0,0,9.33,0,10.33,0,10.077,0.992,3.19,x,1.05,5.7,8.33,0.97,3.31,7.14
42643.53121,4.03,7.052,3.022,1.007,2.015,0,0,0,0,0,0,0,0,0,0,0,7.67,9,0,0,17.126,0.993,3.19,x,1.35,3.17,3.34,0.97,3.31,7.14
42643.53122,6.044,3.022,6.044,1.007,1.007,3.022,1.007,0,0,0,0,0,0,0,0,0,6,8.33,10,0,21.156,0.993,3.23,x,1.7,8.4,11.63,0.98,3.33,6.95
42643.53123,2.016,3.024,2.016,0,2.016,0,2.016,0,0,0,0,0,0,0,0,0,6.67,0,0,0,11.087,0.992,3.25,x,0.85,6.09,10.41,0.98,3.34,6.97
42643.53124,10.078,1.008,3.023,1.008,2.016,0,0,0,0,0,0,0,0,0,0,0,7.67,13,0,0,17.133,0.992,3.25,x,1.09,2.82,2.99,0.98,3.33,6.96
42643.53125,5.039,4.032,3.024,2.016,0,1.008,0,0,0,1.008,0,0,0,0,0,0,6.33,10.33,11,0,16.126,0.992,3.28,x,1.12,3.92,42.82,0.98,3.34,7.09
42643.53126,5.038,2.015,2.015,2.015,0,1.008,1.008,0,0,0,0,0,0,0,0,0,8,7.67,7.67,0,13.1,0.992,3.27,x,0.92,4.68,7.12,0.98,3.34,7.1
42643.53128,7.054,6.046,6.046,0,2.015,3.023,0,0,0,0,0,0,0,0,0,0,6.67,0,9.33,0,24.184,0.992,3.31,x,1.83,6.8,7.97,0.98,3.35,7.11
42643.53129,8.063,5.039,3.024,4.031,3.024,0,0,1.008,0,0,0,0,0,0,0,0,7,9.33,0,12.33,24.188,0.992,3.32,x,1.84,7.03,15.37,0.98,3.36,7.14
42643.5313,8.062,6.047,2.016,1.008,0,0,0,0,0,0,0,0,0,0,0,0,7,8.33,0,0,17.132,0.992,3.34,x,0.94,1.44,1.46,0.98,3.35,7.13
42643.53131,8.062,2.016,0,2.016,0,2.016,0,0,0,0,0,0,0,0,0,0,7.67,10.67,8.67,0,14.109,0.992,3.34,x,0.81,3.54,4.24,0.98,3.36,7.14
