OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C) or Pressure(Pa),PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
42643.5108,5.039,4.031,3.023,0,1.008,0,0,0,0,0,0,0,0,0,0,0,5.67,0,0,0,13.101,0.992,4.13,x,0.69,1.38,1.45,1.1,4.35,10.39
42643.51082,7.054,3.023,6.046,4.031,1.008,0,0,0,0,0,0,0,0,0,0,0,7.33,9,0,0,21.162,0.992,4.09,x,1.43,3.21,3.32,1.11,4.34,10.3
42643.51083,6.045,3.023,5.038,0,2.015,2.015,0,0,0,0,0,0,0,0,0,0,9.67,0,9,0,18.136,0.993,3.97,x,1.16,4.3,4.99,1.11,4.34,10.23
42643.51084,8.061,2.015,4.031,1.008,3.023,2.015,0,1.008,0,0,0,0,0,0,0,0,5.33,5,13.67,10.33,21.161,0.992,3.99,x,1.29,6.77,14.23,1.11,4.37,10.28
42643.51085,8.063,5.039,5.039,2.016,1.008,0,0,0,0,1.008,0,0,0,0,0,0,6,7.67,0,0,22.172,0.992,4,x,1.25,3.27,34.96,1.11,4.35,10.58
42643.51086,6.046,5.038,8.061,1.008,2.015,1.008,0,0,0,0,0,0,0,0,0,0,5.67,6.33,10.33,0,23.176,0.992,4.02,x,1.57,4.22,4.64,1.12,4.35,10.51
42643.51087,7.054,5.038,4.031,0,1.008,1.008,0,0,0,0,0,0,0,0,0,0,5.33,0,8.33,0,18.138,0.992,4.07,x,0.97,2.63,2.97,1.12,4.33,10.42
42643.51089,7.055,3.024,2.016,0,1.008,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,13.103,0.992,4.05,x,0.6,1.23,1.3,1.11,4.3,10.31
42643.5109,7.054,5.038,4.031,2.015,1.008,1.008,2.015,0,0,0,0,0,0,0,0,0,5.67,8.67,6.33,0,22.168,0.992,4.07,x,1.27,6.46,10.15,1.11,4.32,10.31
42643.51091,14.106,4.03,4.03,2.015,2.015,1.008,0,1.008,0,0,0,0,0,0,0,0,4.67,6.33,7.67,11.67,28.211,0.993,4.13,x,1.39,5.59,12.49,1.11,4.33,10.34
42643.51092,5.039,3.023,7.055,0,0,3.023,1.008,0,0,0,0,0,0,0,0,0,7,0,7.67,0,19.148,0.992,4.09,x,1.19,5.84,8.32,1.12,4.35,10.31
42643.51093,10.078,4.031,2.016,1.008,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,5.67,5,8.33,9.67,20.157,0.992,4.11,x,0.9,4.3,11.16,1.11,4.35,10.32
42643.51095,12.089,5.037,7.052,1.007,0,2.015,1.007,0,1.007,0,0,0,0,0,0,0,5.67,6.33,10.33,0,29.216,0.993,4.13,x,1.45,6.68,24.16,1.12,4.38,10.47
42643.51096,4.031,4.031,5.039,1.008,1.008,2.015,0,0,0,0,0,0,0,0,0,0,6.33,6.33,10,0,17.132,0.992,4.11,x,1.14,3.94,4.56,1.12,4.37,10.41
42643.51097,8.062,2.016,6.047,2.016,1.008,2.016,1.008,0,0,0,0,0,0,0,0,0,6,9.67,9.33,0,22.172,0.992,4.11,x,1.36,5.95,8.23,1.12,4.39,10.39
42643.51098,9.066,1.007,3.022,1.007,0,1.007,0,0,0,0,0,0,0,0,0,0,3,7,9,0,15.111,0.993,4.15,x,0.7,1.99,2.28,1.12,4.36,10.3
42643.51099,5.037,6.044,1.007,1.007,2.015,1.007,0,1.007,0,0,0,0,0,0,0,0,7.67,9,12.33,11.67,17.124,0.993,4.04,x,0.94,4.82,11.85,1.11,4.37,10.32
42643.511,7.053,2.015,2.015,2.015,0,1.008,0,0,0,0,0,0,0,0,0,0,5.67,8.67,8.33,0,14.106,0.992,4.05,x,0.75,2.24,2.54,1.11,4.35,10.24
42643.51102,7.052,3.022,8.06,1.007,1.007,2.015,1.007,0,0,0,0,0,0,0,0,0,5,7.67,9.33,0,23.172,0.993,4.08,x,1.47,6.01,8.29,1.11,4.36,10.22
42643.51103,2.015,7.054,4.031,2.015,2.015,1.008,0,0,0,0,0,0,0,0,0,0,6.33,5.67,7.67,0,18.139,0.992,4.06,x,1.31,3.92,4.34,1.12,4.36,10.16
