,# temperatures,INP,ff,K,date
9,-24.43,0.0,0.37037037037,405.465108108,2016-10-18
10,-24.5,0.0,0.407407407407,462.623521948,2016-10-18
11,-24.57,0.0,0.444444444444,523.248143765,2016-10-18
12,-25.05,0.0,0.481481481481,587.786664902,2016-10-18
13,-25.11,0.0,0.518518518519,656.779536389,2016-10-18
14,-25.14,0.0,0.555555555556,730.887508543,2016-10-18
15,-25.19,0.0,0.592592592593,810.930216216,2016-10-18
16,-25.68,0.0,0.62962962963,897.941593206,2016-10-18
17,-25.91,0.0,0.666666666667,993.25177301,2016-10-18
18,-26.12,0.0,0.703703703704,1098.61228867,2016-10-18
19,-26.36,0.0,0.740740740741,1216.39532432,2016-10-18
20,-26.83,0.0,0.777777777778,1349.92671695,2016-10-18
21,-27.02,0.0,0.814814814815,1504.07739678,2016-10-18
22,-27.13,0.0,0.851851851852,1686.39895357,2016-10-18
23,-27.13,0.0,0.888888888889,1909.54250488,2016-10-18
24,-27.24,0.0,0.925925925926,2197.22457734,2016-10-18
25,-27.82,0.0,0.962962962963,2602.68968544,2016-10-18
26,-28.07,0.0,1.0,3295.836866,2016-10-18
0,-16.93,0.0,0.0178571428571,-0.0,2016-10-19
1,-17.58,0.0,0.0357142857143,18.0185055027,2016-10-19
2,-17.77,0.0,0.0535714285714,36.3676441709,2016-10-19
3,-21.43,0.0,0.0714285714286,55.059777183,2016-10-19
4,-21.73,0.0,0.0892857142857,74.1079721537,2016-10-19
5,-21.92,0.0,0.107142857143,93.5260580108,2016-10-19
6,-22.28,0.0,0.125,113.328685307,2016-10-19
7,-22.32,0.0,0.142857142857,133.531392625,2016-10-19
8,-22.67,0.0,0.160714285714,154.150679827,2016-10-19
9,-22.69,0.0,0.178571428571,175.204089025,2016-10-19
10,-23.21,0.0,0.196428571429,196.710294246,2016-10-19
11,-23.33,0.0,0.214285714286,218.689200965,2016-10-19
12,-23.41,0.0,0.232142857143,241.162056817,2016-10-19
13,-23.44,0.0,0.25,264.151575042,2016-10-19
14,-23.59,0.0,0.267857142857,287.682072452,2016-10-19
15,-23.61,0.0,0.285714285714,311.779624031,2016-10-19
16,-23.67,0.0,0.303571428571,336.472236621,2016-10-19
17,-24.03,0.0,0.321428571429,361.790044606,2016-10-19
18,-24.23,0.0,0.339285714286,387.765531009,2016-10-19
19,-24.31,0.0,0.357142857143,414.433778091,2016-10-19
20,-24.38,0.0,0.375,441.832752279,2016-10-19
21,-24.4,0.0,0.392857142857,470.003629246,2016-10-19
22,-24.72,0.0,0.410714285714,498.991166119,2016-10-19
23,-24.82,0.0,0.428571428571,528.844129269,2016-10-19
24,-24.9,0.0,0.446428571429,559.615787935,2016-10-19
